C:\Users\doris\anaconda3\envs\py37\python.exe F:\resource_provision_mec\codes\min_cost\ppo\train.py 
------use_orthogonal_init------
------use_orthogonal_init------
step: 130048 / 2000000, lr = 0.00028049279999999997
step: 131072 / 2000000, lr = 0.00028033919999999996
evaluate_num:66 	 evaluate_reward:59.876519485378516 	 info: [{'cost': 4449.0, 'assigned_user': '50 / 50'}]
step: 132096 / 2000000, lr = 0.0002801856
step: 133120 / 2000000, lr = 0.000280032
evaluate_num:67 	 evaluate_reward:60.30154362385805 	 info: [{'cost': 4440.0, 'assigned_user': '50 / 50'}]
step: 134144 / 2000000, lr = 0.0002798784
step: 135168 / 2000000, lr = 0.00027972479999999997
evaluate_num:68 	 evaluate_reward:60.558184677825224 	 info: [{'cost': 4406.0, 'assigned_user': '50 / 50'}]
step: 136192 / 2000000, lr = 0.00027957119999999996
step: 137216 / 2000000, lr = 0.0002794176
evaluate_num:69 	 evaluate_reward:61.13991340828983 	 info: [{'cost': 4413.0, 'assigned_user': '50 / 50'}]
step: 138240 / 2000000, lr = 0.000279264
step: 139264 / 2000000, lr = 0.0002791104
evaluate_num:70 	 evaluate_reward:60.659609726570814 	 info: [{'cost': 4435.0, 'assigned_user': '50 / 50'}]
step: 140288 / 2000000, lr = 0.00027895679999999996
step: 141312 / 2000000, lr = 0.00027880319999999995
evaluate_num:71 	 evaluate_reward:60.77553240929975 	 info: [{'cost': 4418.0, 'assigned_user': '50 / 50'}]
step: 142336 / 2000000, lr = 0.0002786496
step: 143360 / 2000000, lr = 0.000278496
evaluate_num:72 	 evaluate_reward:61.36778118022329 	 info: [{'cost': 4395.0, 'assigned_user': '50 / 50'}]
step: 144384 / 2000000, lr = 0.0002783424
step: 145408 / 2000000, lr = 0.00027818879999999996
evaluate_num:73 	 evaluate_reward:61.3438198227359 	 info: [{'cost': 4377.0, 'assigned_user': '50 / 50'}]
step: 146432 / 2000000, lr = 0.0002780352
step: 147456 / 2000000, lr = 0.0002778816
evaluate_num:74 	 evaluate_reward:61.045103718019405 	 info: [{'cost': 4414.0, 'assigned_user': '50 / 50'}]
step: 148480 / 2000000, lr = 0.000277728
step: 149504 / 2000000, lr = 0.00027757439999999997
